c840  b0 03     BCS $c845                       A:04 X:00 Y:00 P:24 SP:fb PPU:  0, 21 CYC:7
c842  4c 49 c8  JMP $c849                       A:04 X:00 Y:00 P:24 SP:fb PPU:  0, 21 CYC:7
c849  ea        NOP                             A:04 X:00 Y:00 P:24 SP:fb PPU:  0, 21 CYC:7
c84a  f8        SED                             A:04 X:00 Y:00 P:24 SP:fb PPU:  0, 21 CYC:7
c84b  a9 ff     LDA #$ff                        A:04 X:00 Y:00 P:2c SP:fb PPU:  0, 21 CYC:7
c84d  85 01     STA $01 = 80                    A:ff X:00 Y:00 P:ac SP:fb PPU:  0, 21 CYC:7
c84f  24 01     BIT $01 = ff                    A:ff X:00 Y:00 P:ac SP:fb PPU:  0, 21 CYC:7
c851  18        CLC                             A:ff X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c852  a9 00     LDA #$00                        A:ff X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c854  48        PHA                             A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c855  a9 ff     LDA #$ff                        A:00 X:00 Y:00 P:6e SP:fa PPU:  0, 21 CYC:7
c857  68        PLA                             A:ff X:00 Y:00 P:ec SP:fa PPU:  0, 21 CYC:7
c858  d0 09     BNE $c863                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c85a  30 07     BMI $c863                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c85c  50 05     BVC $c863                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c85e  b0 03     BCS $c863                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c860  4c 67 c8  JMP $c867                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c867  ea        NOP                             A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c868  a9 00     LDA #$00                        A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c86a  85 01     STA $01 = ff                    A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c86c  24 01     BIT $01 = 00                    A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c86e  38        SEC                             A:00 X:00 Y:00 P:2e SP:fb PPU:  0, 21 CYC:7
c86f  a9 ff     LDA #$ff                        A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c871  48        PHA                             A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c872  a9 00     LDA #$00                        A:ff X:00 Y:00 P:ad SP:fa PPU:  0, 21 CYC:7
c874  68        PLA                             A:00 X:00 Y:00 P:2f SP:fa PPU:  0, 21 CYC:7
c875  f0 09     BEQ $c880                       A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c877  10 07     BPL $c880                       A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c879  70 05     BVS $c880                       A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c87b  90 03     BCC $c880                       A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c87d  4c 84 c8  JMP $c884                       A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c884  60        RTS                             A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c603  20 85 c8  JSR $c885                       A:ff X:00 Y:00 P:ad SP:fd PPU:  0, 21 CYC:7
c885  ea        NOP                             A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c886  18        CLC                             A:ff X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c887  a9 ff     LDA #$ff                        A:ff X:00 Y:00 P:ac SP:fb PPU:  0, 21 CYC:7
c889  85 01     STA $01 = 00                    A:ff X:00 Y:00 P:ac SP:fb PPU:  0, 21 CYC:7
c88b  24 01     BIT $01 = ff                    A:ff X:00 Y:00 P:ac SP:fb PPU:  0, 21 CYC:7
c88d  a9 55     LDA #$55                        A:ff X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c88f  09 aa     ORA #$aa                        A:55 X:00 Y:00 P:6c SP:fb PPU:  0, 21 CYC:7
c891  b0 0b     BCS $c89e                       A:ff X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c893  10 09     BPL $c89e                       A:ff X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c895  c9 ff     CMP #$ff                        A:ff X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c897  d0 05     BNE $c89e                       A:ff X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c899  50 03     BVC $c89e                       A:ff X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c89b  4c a2 c8  JMP $c8a2                       A:ff X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c8a2  ea        NOP                             A:ff X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c8a3  38        SEC                             A:ff X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c8a4  b8        CLV                             A:ff X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c8a5  a9 00     LDA #$00                        A:ff X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8a7  09 00     ORA #$00                        A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8a9  d0 09     BNE $c8b4                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8ab  70 07     BVS $c8b4                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8ad  90 05     BCC $c8b4                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8af  30 03     BMI $c8b4                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8b1  4c b8 c8  JMP $c8b8                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8b8  ea        NOP                             A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8b9  18        CLC                             A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8ba  24 01     BIT $01 = ff                    A:00 X:00 Y:00 P:2e SP:fb PPU:  0, 21 CYC:7
c8bc  a9 55     LDA #$55                        A:00 X:00 Y:00 P:ee SP:fb PPU:  0, 21 CYC:7
c8be  29 aa     AND #$aa                        A:55 X:00 Y:00 P:6c SP:fb PPU:  0, 21 CYC:7
c8c0  d0 09     BNE $c8cb                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c8c2  50 07     BVC $c8cb                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c8c4  b0 05     BCS $c8cb                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c8c6  30 03     BMI $c8cb                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c8c8  4c cf c8  JMP $c8cf                       A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c8cf  ea        NOP                             A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c8d0  38        SEC                             A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c8d1  b8        CLV                             A:00 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c8d2  a9 f8     LDA #$f8                        A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8d4  29 ef     AND #$ef                        A:f8 X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c8d6  90 0b     BCC $c8e3                       A:e8 X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c8d8  10 09     BPL $c8e3                       A:e8 X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c8da  c9 e8     CMP #$e8                        A:e8 X:00 Y:00 P:ad SP:fb PPU:  0, 21 CYC:7
c8dc  d0 05     BNE $c8e3                       A:e8 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8de  70 03     BVS $c8e3                       A:e8 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8e0  4c e7 c8  JMP $c8e7                       A:e8 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8e7  ea        NOP                             A:e8 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8e8  18        CLC                             A:e8 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c8e9  24 01     BIT $01 = ff                    A:e8 X:00 Y:00 P:2e SP:fb PPU:  0, 21 CYC:7
c8eb  a9 5f     LDA #$5f                        A:e8 X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c8ed  49 aa     EOR #$aa                        A:5f X:00 Y:00 P:6c SP:fb PPU:  0, 21 CYC:7
c8ef  b0 0b     BCS $c8fc                       A:f5 X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c8f1  10 09     BPL $c8fc                       A:f5 X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c8f3  c9 f5     CMP #$f5                        A:f5 X:00 Y:00 P:ec SP:fb PPU:  0, 21 CYC:7
c8f5  d0 05     BNE $c8fc                       A:f5 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c8f7  50 03     BVC $c8fc                       A:f5 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c8f9  4c 00 c9  JMP $c900                       A:f5 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c900  ea        NOP                             A:f5 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c901  38        SEC                             A:f5 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c902  b8        CLV                             A:f5 X:00 Y:00 P:6f SP:fb PPU:  0, 21 CYC:7
c903  a9 70     LDA #$70                        A:f5 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
