C038  D0 FA     BNE $C034                       A:00 X:E4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:E4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:E4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:E3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:E3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:E3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:E2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:E2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:E2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:E1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:E1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:E1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:E0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:E0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:E0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:DF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:DF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:DF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:DE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:DE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:DE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:DD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:DD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:DD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:DC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:DC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:DC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:DB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:DB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:DB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:DA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:DA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:DA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D3 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D2 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:D1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D1 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
